model,task,mean_normalized_performance,se_normalized_performance
nocall,0,-0.1551434785698029,0.5900339253065926
base,0,1.0,0.5365934290068017
human,0,0.9300981146446256,0.5527831992246278
llm,0,-2.3731458612157446,0.045099771549384854
zeroshot_llm,0,1.0286234016121638,0.5483659861476263
COT_zeroshot_llm,0,-1.6930850169529503,0.03348855823423564
COT_llm,0,0.9016329739361724,0.5472747662093992
nocall,1,0.3406063160110352,0.9014026049280521
base,1,1.0,0.8705116465867117
human,1,-4.756941480357441,1.3577050351251245
llm,1,3.4723220688713674,0.4942468454059471
zeroshot_llm,1,1.0279325280728433,0.8717503188047161
COT_zeroshot_llm,1,0.36997109155286184,2.4100237298089615
COT_llm,1,0.45928232343912934,0.849282530250934
nocall,2,-1.4228712341499405,0.14031336463819583
base,2,1.0,0.2313566511332981
human,2,-0.05144145470012092,0.0831185870489153
llm,2,1.4279868333249852,0.17562097521144224
zeroshot_llm,2,1.871774987077032,0.20721325432204166
COT_zeroshot_llm,2,1.2447954993639136,0.21370366967064708
COT_llm,2,2.6370087122502506,0.14776017216407186
nocall,3,-1.3050299014317865,0.03144615986544512
base,3,1.0,0.1709625232350535
human,3,-0.056015578389346295,0.15809045982544018
llm,3,3.0969315335540264,0.06165211511362609
zeroshot_llm,3,2.981930326847045,0.06343378832995927
COT_zeroshot_llm,3,3.2478691752647837,0.03631214171524002
COT_llm,3,3.1672036934006482,0.0603313870922148
nocall,4,-0.21017905662246109,0.3459990937107865
base,4,1.0,0.36935234946479967
human,4,1.0286882734743483,0.3669513501197458
llm,4,-0.5839302048834417,0.016128690805243776
zeroshot_llm,4,1.1483167917884545,0.3682900779428584
COT_zeroshot_llm,4,6.590114789842547,1.4807379501562978
COT_llm,4,1.0312499496834295,0.36689032748234296
nocall,5,-30.315585135884383,4.573952555031934
base,5,1.0,4.5522515956431056
human,5,-12.759044935109756,5.655830038081968
llm,5,24.359841696535145,4.625676871686115
zeroshot_llm,5,9.390556750298616,8.207741627639628
COT_zeroshot_llm,5,45.024463787904345,6.121548838227892
COT_llm,5,6.216248506571077,4.524574483615185
nocall,6,0.040287083852473045,0.31331569600454995
base,6,1.0,0.2451174885087922
human,6,-0.9394101804219052,0.46106419953466077
llm,6,-1.1670372917066636,0.3309867951114974
zeroshot_llm,6,0.9378843559289284,0.2634718546704571
COT_zeroshot_llm,6,-0.9045941623449606,0.144548582249635
COT_llm,6,-0.3442330824477537,0.5434862510690351
nocall,7,0.014570548303285271,0.5203533897795279
base,7,1.0,0.5503420769861599
human,7,0.4471252320912436,0.502519956703142
llm,7,-0.02660957028700926,0.4352935845478908
zeroshot_llm,7,-2.2515747730871993,0.696765246953612
COT_zeroshot_llm,7,-1.458485315748276,0.7177120092418817
COT_llm,7,-0.0614961835346889,0.5972726705450926
nocall,8,-0.7055091663038886,0.022271463712775098
base,8,1.0,0.08512736663262417
human,8,0.8764726739464079,0.08707900374274262
llm,8,0.4662904327765087,0.08212094689580098
zeroshot_llm,8,0.6162051277957447,0.10519593935079885
COT_zeroshot_llm,8,0.703066082472031,0.10775710887795668
COT_llm,8,0.6312200205767406,0.11340727832848711
nocall,9,-0.16835657170969814,0.4258664855579822
base,9,1.0,0.38220262379494874
human,9,-0.636229760554466,0.3232300505268241
llm,9,0.8244265705792241,0.5357931181310988
zeroshot_llm,9,0.8899263286123101,0.523632625147732
COT_zeroshot_llm,9,-2.269680097606154,0.27745562055535355
COT_llm,9,0.9199450768686651,0.5201391366201202
nocall,10,-0.044616895349026874,0.21499439828149708
base,10,1.0,0.3112671816068073
human,10,-0.8599036850159134,0.30193982018558013
llm,10,1.5537732628091154,0.2497013059060856
zeroshot_llm,10,-0.9542684133811139,0.23803463670189606
COT_zeroshot_llm,10,0.03473297290952461,0.3081928359434259
COT_llm,10,1.6104300968302057,0.19734270371071924
nocall,11,-0.5202668154154857,0.01783805494828836
base,11,1.0,0.02984370789510875
human,11,-0.15527882952480768,0.078406063137159
llm,11,1.3709602924821003,0.019627149345348233
zeroshot_llm,11,0.9667380885309559,0.04249283124895811
COT_zeroshot_llm,11,1.1777978146614667,0.026926423878728
COT_llm,11,1.174719243621133,0.021354152047598864
nocall,12,-0.20888809529935684,0.5941254652312168
base,12,1.0,0.5390933384904212
human,12,2.2441656600000126,0.2773605117408651
llm,12,0.19509934806303922,0.9263491740320604
zeroshot_llm,12,0.39301785754745394,0.9142542096751943
COT_zeroshot_llm,12,0.7091721043779832,0.5350573318459276
COT_llm,12,1.1602500740542554,1.0471166763214943
nocall,13,0.046668721298365655,0.24196405189585135
base,13,1.0,0.2560170361722073
human,13,1.0124864855892293,0.3872071293429833
llm,13,0.26692749461581183,0.2748116883899605
zeroshot_llm,13,-1.3188329889122818,0.17098256982394483
COT_zeroshot_llm,13,0.24941948976861786,0.3251279615766688
COT_llm,13,1.043412450791325,0.3835772965951054
nocall,14,0.2477763415185443,0.36079858124214853
base,14,1.0,0.016289488377186745
human,14,-0.6092687753712197,0.4009143577303128
llm,14,-0.5694612001089722,0.38137915929859856
zeroshot_llm,14,-0.5590653587247211,0.392552412398018
COT_zeroshot_llm,14,-0.8476395764600247,0.3713420297914735
COT_llm,14,-0.6199746123173121,0.3870494340307344
nocall,15,-1.7867778031622443,0.2706183136680674
base,15,1.0,0.2531987505767627
human,15,-0.3468626074565844,0.23969910813154474
llm,15,3.6192300643835456,0.22189328991481913
zeroshot_llm,15,6.765475844545803,0.4408534395690272
COT_zeroshot_llm,15,0.38309808359412084,0.3171446339664094
COT_llm,15,-1.0548843027737667,0.1964566652409404
nocall,16,0.06443880594890271,0.12593333074884347
base,16,1.0,0.12861574731568232
human,16,-0.1628238880500738,0.11626832885748202
llm,16,0.38560090620959825,0.006814305821706036
zeroshot_llm,16,-0.8298486628420936,0.17663053295445028
COT_zeroshot_llm,16,-1.2821868391078435,0.2869821785914065
COT_llm,16,-0.17499207437859204,0.11560460048605349
nocall,17,-0.24617539104395147,0.9747059681177086
base,17,1.0,1.203229689127042
human,17,-2.8729140296246727,0.8689284869002558
llm,17,-0.6199903041141247,1.0152257913585954
zeroshot_llm,17,-2.922571805739334,1.3995921321631442
COT_zeroshot_llm,17,1.7565093001685341,0.6787101068668874
COT_llm,17,2.819740485018142,1.8496975150954893
nocall,18,0.10912240795834739,0.2851963562787144
base,18,1.0,0.31399676931629855
human,18,-2.0017691479389663,0.4626468689832287
llm,18,-1.3083759480578563,0.5490545678479901
zeroshot_llm,18,-0.7348562621101323,0.15161641892746933
COT_zeroshot_llm,18,-0.08401547767264045,0.5155554068752217
COT_llm,18,0.7779125137630257,0.3958820971497395
nocall,19,0.061466718440397625,0.18400608279852368
base,19,1.0,0.20756612395439464
human,19,0.9846092692835606,0.21732065145399626
llm,19,-0.3348767514109774,0.10595517964497599
zeroshot_llm,19,-0.8590209600462373,0.37948756548979234
COT_zeroshot_llm,19,0.033305083551227126,0.24943241792744836
COT_llm,19,-1.666968545835129,0.23954991745114443
nocall,20,0.6524255195593572,0.708151831627877
base,20,1.0,0.10320917382493833
human,20,1.3616940036405771,1.8748121363163635
llm,20,-3.665145475014733,1.0474742725997654
zeroshot_llm,20,1.0760155110251988,0.058452391787438364
COT_zeroshot_llm,20,-4.126977167334324,1.1667131627571734
COT_llm,20,-3.7365365145070766,1.0415872479537636
nocall,21,-0.4008714747505533,1.1782353109877581
base,21,1.0,1.246732299493067
human,21,-1.5751145593610512,0.7659609446253883
llm,21,-0.9818601240641762,0.7992655193216142
zeroshot_llm,21,3.5766045551572674,1.675561156298594
COT_zeroshot_llm,21,-1.9310716337623632,1.4351317144899078
COT_llm,21,1.0275411459924362,1.183059371056348
nocall,22,0.10852822461226935,0.33887326525241707
base,22,1.0,0.6864879512155045
human,22,1.0978516201714723,0.020335901301530724
llm,22,-0.008098769862971351,0.1697055507258049
zeroshot_llm,22,-0.9533183768936997,0.5342139216572254
COT_zeroshot_llm,22,-2.1615944267875036,0.8341116773662235
COT_llm,22,1.022916284131333,0.33229304618384026
nocall,23,-0.23093872963790324,1.1640713922562276
base,23,1.0,0.46665108279375445
human,23,3.005865045311667,0.9971981870386816
llm,23,-1.5728480852914004,1.399268673855736
zeroshot_llm,23,6.201069705027389,0.7886902122577085
COT_zeroshot_llm,23,5.279338265814971,2.1254714512791915
COT_llm,23,9.041994503233095,0.9764403262503676
default,14,0.48777243051541647,0.10648470186719393
default,11,-1.2325675957048403,0.06359214300751018
default,20,-0.45101533082240036,0.201969676676772
default,5,-0.2611270773537415,0.24994475093122712
default,2,-0.011542328847366093,0.24130856516115332
default,23,-0.826311155296893,0.08551311027099912
default,8,1.1958883849580701,0.04654093706040784
default,17,-0.387299233870902,0.16658091814803913
default,13,0.473311512298499,0.23128047449573472
default,10,0.4629733430002174,0.07680767105357385
default,19,0.8931280062593635,0.13859536000832678
default,4,-0.8699651053645265,0.11955561203588536
default,1,-0.9704816424341293,0.13141176918416964
default,22,0.01041458459685137,0.20481781796253015
default,7,-0.08646887658742496,0.1881674456908509
default,16,0.8843745214198223,0.0403127192316134
default,9,-0.5167513561766811,0.25236584366920534
default,18,-0.15917510611878938,0.1555976090093507
default,12,0.8940598474282485,0.07986488989797502
default,3,1.3687109421135233,0.07250390142026372
default,21,0.6763459556222875,0.07264342918101625
default,0,1.767541442009781,0.06922708190853753
default,6,-2.3707444363833092,0.5721774266155231
default,15,-0.5061044141629272,0.3385951086956687
